sid       assignname grade 
D10755593 chapter1     100 
D10755593 lab1          18 
D10755593 lab2          20 
D10755593 lab3          18 
D10755594 chapter1     100 
D10755594 lab1          16 
D10755594 lab2          19 
D10755594 lab3          17 
D10755595 chapter1     100 
D10755595 lab1          20 
D10755595 lab2          19 
D10755595 lab3          19 
D10755596 chapter1       0 
D10755596 lab1          16 
D10755596 lab2          19 
D10755596 lab3          18 
D10755597 chapter1     100 
D10755597 lab1          16 
D10755597 lab2          19 
D10755597 lab3          16 
D10755598 chapter1     100 
D10755598 lab1          16 
D10755598 lab2          19 
D10755599 chapter1     100 
D10755599 lab2           8 
D10755599 lab3          20 
D10755600 chapter1       0 
D10755600 lab2          19 
D10755600 lab3          18 
D10755601 chapter1     100 
D10755601 lab1          18 
D10755601 lab2          15 
D10755601 lab3          17 
D10755602 chapter1     100 
D10755602 lab1          16 
D10755602 lab2          17 
D10755602 lab3          11 
D10755603 chapter1       0 
D10755603 lab1           0 
D10755603 lab2           7 
D10755603 lab3          18 
D10755604 chapter1      50 
D10755604 lab1          18 
D10755604 lab2          20 
D10755604 lab3          18 
D10755613 chapter1     100 
D10755613 lab1           0 
D10755613 lab2          10 
D10755613 lab3          16 
D10755621 chapter1     100 
D10755621 lab1          18 
D10755621 lab2          18 
D10755621 lab3          18 
D10755626 chapter1     100 
D10755626 lab1          20 
D10755626 lab2          18 
D10755626 lab3          18 
D10755631 chapter1     100 
D10755631 lab1           2 
D10755631 lab2          20 
D10755631 lab3          20 
D10755647 chapter1     100 
D10755647 lab1          16 
D10755647 lab2          20 
D10755647 lab3          17 
D10755649 chapter1     100 
D10755649 lab1          18 
D10755649 lab2          19 
D10755649 lab3          20 
D10755665 chapter1     100 
D10755665 lab1          18 
D10755665 lab2          16 
D10755665 lab3          14 
D10755736 chapter1       0 
D10755736 lab1           0 
D10755736 lab2           2 
D10755793 chapter1     100 
D10755793 lab1           2 
D10755793 lab2          19 
D10755793 lab3          16 
D10755801 chapter1     100 
D10755801 lab1           2 
D10755801 lab2           2 
D10755801 lab3          15 
D10758352 chapter1      50 
D10758352 lab1           0 
D10758352 lab2          15 
D10758352 lab3          16 
                           
